TR:TCGAMGAAMC01:CellLine,TR:TCGACH574801:CellLine,TR:TCGACH574101:CellLine,TR:TCGAV1A9O901:CellLine,TR:TCGAYLA9WL01:CellLine,TR:TCGAHC774401:CellLine,TR:TCGAKKA6E001:CellLine,TR:TCGAYLA8HK01:CellLine,TR:TCGAQUA6IL01:CellLine,TR:TCGAJ4A67L01:CellLine,TR:TCGAEJ549701:CellLine,TR:TCGACH576101:CellLine,DA:ALL,TR:CDC7,TR:CDON,TR:GADD45B,TR:parent_of_TRIM281,TR:RPS6KA2,TR:RYK,TR:WNT1,TR:WNT4,TR:HMGA2,TR:MAPKAPK3,TR:parent_of_ATM1,TR:PPARA,TR:PPARD,TR:ULK2,TR:HDAC10,TR:BIRC5,TR:HIPK1,TR:KCNIP3,TR:parent_of_CASP3-1_____CASP7-1_____CASP9-1,TR:PRKCA,TR:BIRC7,TR:EIF2AK3,TR:RIPK1,TR:SF1,TR:CSNK1E,TR:GOLGA7,DV:ABL1,DV:ATM,DV:AXIN1,DV:BAK1,DV:BCL2L2,DV:CDK5,DV:CREB1,DV:CREBBP,DV:DAXX,DV:DDX3X,DV:E2F1,DV:EIF4E,DV:ESCO1,DV:FAS,DV:FUS,DV:FZD8,DV:IRS1,DV:LRP6,DV:MAP3K4,DV:NR1H2,DV:parent_of_FUS1,DV:parent_of_HRAS1_____NRAS1,DV:PRKAB1,DV:PSIP1,DV:RNF111,DV:TRIM28,DV:BAX,DV:BID,DV:CASP3,DV:DIABLO,DV:EIF4G2,DV:HSPB2,DV:ILK,DV:parent_of_AKT11_____AKT21_____AKT31,DV:PPP1R1B
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0.5760480900675953,NA,0.555858948986869,0.516941531280353,0.4229516828043169,0.2832475046444597,0.7636986002617702,1,0.21381739289374,0.9392177344949135,0.09048139414117129,0.5,1,0.35356780028663237,0.23155104148250702,0.7273489881932315,0.5903966282777946,0.5903966282777946,0.5518017179344008,1,0.2118271156576541,0.9406660442323997,0.5718315693691401,0.3879872512181412,NA,0,0.516941531280353,0.41953327489551845,0.3375370399595053,0.22929630364773695,0.7241785046755186,0.8404766537476105,0.5837663271276213,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0.8453930897131039,0.7248405524468448,0.7232476941939088,0,1,0.8453930897131039,0.7962589567034147,0.24419163276306763,0.38358317539587916,0.3138020494446284,NA,0.17844328548956448,0.44791370908194,0.3037973176166282,0.24576591971835549,0.6491774536746112,0.7575862836814489,0.7737228571625496,0,0.6341708681048045,0.24187208991747056,0.8608402655346061,0.7023083896673219,0.642584213893751,0.7232476941939088,0,0,0,0.304305966473601,0,0.8351096106178116,0.7647139692162104,0.8974401854274563,0.6878373352309795,0.8187239422956749
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,1,0,0,0,0,10,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.10924350821782675,0.8614221898905734,0.7731551669267194,NA,0.42875373267522826,NA,0.1058469317892738,0.7731551669267194,0.7282718532748887,0.262115795751844,0.7282718532748887,0.7731551669267194,NA,0.7405957082140804,0.7485930820348626,0.6813990734665637,0.8066454287965659,0.8569151007172195,1,0.7544643317474651,0.7705764145824565,0.3300543144085039,0.7505926536354751,0.6845813568064485,0.7731551669267194,0.5123540648037989,NA,0.5679016898013932,0.6032964936459648,NA,0.4766488777711548,0.13463038263425323,0.3517001180640425,0.07908106041362407,0.20034230611284412
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0.3700627901547012,0.3700627901547012,0.9500202170010474,0.6264608377143047,NA,0.5644692348408821,0.3700627901547012,0.3700627901547012,0.6788784408791811,0.7204643768691602,0.3700627901547012,0.2226095189160899,0.378471003543173,NA,0.554391257906365,1,0.4045804021385108,0.9939334572430509,0.07593669483474824,0.6788784408791811,0.6139339070739337,0.6198544167452902,0.2963034841575952,0.5028850716524234,0.9500202170010474,0.6788784408791811,0.48565485214181653,0.5009939455022852,0.5127186849584212,0.6518658216989477,0.41053152628427175,NA,0.21238543090501802,0.31537039101450914,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0.41891884195663587,0.83425624288853,0.6927625573629618,0.1702172067158312,1,0.913998537089493,0.5290839658952451,0.5479673963553456,0,NA,0.4486013278652614,NA,0.05338048775587338,0.15198920082435208,0.3142252823810482,0.27020820972215553,0.7703793840433821,0.27020820972215553,0.805122768066,NA,0.30652440810445447,0.15904725171822473,0.7042931945236918,0.7046569999708855,0.5385624640647733,0,0,0.15385435782348697,0.3899644432883466,0.31289531644888785,0.6049229854986007,0.47042109592766135,0.6052319928214973,0.6052319928214973,0.90985437145099
