source,target,sign
FAM107A,AKT3,1
FAM20C,parent_of_FGFR11_____FGFR21_____FGFR31_____FGFR41,-1
FAM83G,parent_of_ACTB1,1
FANCM,TOPBP1,1
FBXL12,CAMK1,-1
FBXO3,HIPK2,-1
FBXO8,ARF6,-1
FBXO9,TELO2,-1
FFAR2,GNAQ,1
FGFR1,parent_of_ACTB1,-1
FGFR1,parent_of_INSR-1,1
FGFR3,STAT3,1
FGFR4,STAT3,1
FGR,PTK2,1
FKBP4,AR,1
FKBP4,PPP3CA,-1
FKBP6,GAPDH,-1
FKBP8,BCL2L1,1
FKBP8,MTOR,-1
FLCN,parent_of_RPTOR1,1
FOS,parent_of_TSHR1,1
FOXG1,FOXO1,-1
FOXL2,ATF3,1
FOXL2,FOS,1
FOXL2,PTGS2,1
FOXO1,NCOR2,-1
FOXO1,STAT3,-1
FOXO3,TNFSF10,1
FOXO3,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,-1
FZD1,DVL3,1
FZD3,GNAQ,1
FZD8,LRP5,1
G3BP1,parent_of_G3BP11,1
GALR2,GNAI1,1
GALR2,GNAQ,1
GAPDH,APEX1,1
GAPDH,EDN1,-1
GAPDH,RHEB,-1
GAS6,AXL,1
GAS6,parent_of_VAV11,1
GCC1,parent_of_CDC421,1
GDE1,PPM1D,-1
GFI1,ETS1,-1
GGCX,F10,1
GGCX,F2,1
GGCX,F7,1
GGCX,GAS6,1
GGCX,PROS1,1
GHITM,parent_of_APAF11_____CASP91,-1
GIGYF2,GRB10,1
GIT1,ARF1,-1
GIT1,MAP2K1,1
GIT1,PTK2,1
GNAI1,CDC42,1
GNAI1,FGR,1
GNAI1,HCK,1
GNAI1,MMP2,1
GNAI1,RAC1,1
GNAI2,FGR,1
GNAI2,HCK,1
GNAQ,GSK3B,-1
GNAS,HCK,1
GNG12,AKT2,1
GNRHR,GNAI1,1
GNRHR,GNAQ,1
GNRHR,TIMP2,1
GOLGA3,GOPC,1
GOPC,BECN1,1
GPC4,WNT3A,1
GPHN,parent_of_CDC421,1
GPR132,GNAQ,1
GPR17,GNAI1,1
GPR17,GNAQ,1
GPSM3,GNAI1,-1
GRAP,PIK3CG,1
GRAP,PTPN1,1
GRAP,SOS1,1
GRB10,ABL1,1
GRHL3,parent_of_CDC421_____RAC11_____RHOA1,1
GRK4,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1,-1
GRK6,MC1R,-1
GRK6,SLC9A3R1,-1
GRK6,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1,-1
GRM1,GNAQ,1
GRM1,GNAS,1
GRP,parent_of_GNAI11_____GNAI31_____GNAL1_____GNAO11_____GNAQ1_____GNAS1_____GNAZ1,1
GSK3B,BAX,1
GSK3B,CDC25A,-1
GSK3B,CLASP2,-1
GSK3B,CREB1,-1
GSK3B,CTNNB1,-1
GSK3B,DPYSL2,-1
GSK3B,EIF4EBP1,-1
GSK3B,GLI1,1
